"","id","submitdate","lastpage","startlanguage","informedConsent","noConsentReason","practiceBehavior_intention","practiceBehavior_attInstrumental","practiceBehavior_attExperiential","practiceBehavior_pnInjunctive","practiceBehavior_pnDescriptive","practiceBehavior_pbcCapacity","practiceBehavior_pbcControl","coffee_intention","coffee_attInstrumental","coffee_attExperiential","coffee_pnInjunctive","coffee_pnDescriptive","coffee_pbcCapacity","coffee_pbcControl","publicTransport_intention","publicTransport_attInstrumental","publicTransport_attExperiential","publicTransport_pnInjunctive","publicTransport_pnDescriptive","publicTransport_pbcCapacity","publicTransport_pbcControl","runRedLight_intention","runRedLight_attInstrumental","runRedLight_attExperiential","runRedLight_pnInjunctive","runRedLight_pnDescriptive","runRedLight_pbcCapacity","runRedLight_pbcControl","wasteSeparation_intention","wasteSeparation_attInstrumental","wasteSeparation_attExperiential","wasteSeparation_pnInjunctive","wasteSeparation_pnDescriptive","wasteSeparation_pbcCapacity","wasteSeparation_pbcControl","conSomebody_intention","conSomebody_attInstrumental","conSomebody_attExperiential","conSomebody_pnInjunctive","conSomebody_pnDescriptive","conSomebody_pbcCapacity","conSomebody_pbcControl","marathon_intention","marathon_attInstrumental","marathon_attExperiential","marathon_pnInjunctive","marathon_pnDescriptive","marathon_pbcCapacity","marathon_pbcControl","longShower_intention","longShower_attInstrumental","longShower_attExperiential","longShower_pnInjunctive","longShower_pnDescriptive","longShower_pbcCapacity","longShower_pbcControl","brushingTeeth_intention","brushingTeeth_attInstrumental","brushingTeeth_attExperiential","brushingTeeth_pnInjunctive","brushingTeeth_pnDescriptive","brushingTeeth_pbcCapacity","brushingTeeth_pbcControl","age","sex","sex_other","education","education_other","region","Totaaltijd","Groep.tijd..Toestemmingsverklaring","Vraagtijd..informedConsent","Groep.tijd..Geen.toestemming.gegeven.voor.deelname","Vraagtijd..noConsentReason","Groep.tijd..Oefenvraag..de.komende.minuten.een.vragenlijst.invullen","Vraagtijd..practiceBehavior","Groep.tijd..De.komende.maand.helemaal.geen.koffie.drinken","Vraagtijd..coffee","Groep.tijd..De.komende.maand.vooral.met.het.openbaar.vervoer.reizen","Vraagtijd..publicTransport","Groep.tijd..De.komende.maand.soms.door.rood.licht.fietsen","Vraagtijd..runRedLight","Groep.tijd..De.komende.maand.afval.altijd.nauwkeurig.scheiden","Vraagtijd..wasteSeparation","Groep.tijd..De.komende.maand.iemand.voor.10.000.euro.oplichten","Vraagtijd..conSomebody","Groep.tijd..De.komende.maand.een.marathon.uitlopen","Vraagtijd..marathon","Groep.tijd..De.komende.maand.vaak.extra.lang.douchen","Vraagtijd..longShower","Groep.tijd..De.komende.maand.elke.dag.je.tanden.poetsen","Vraagtijd..brushingTeeth","Groep.tijd..Algemene.informatie","Vraagtijd..age","Vraagtijd..sex","Vraagtijd..education","Vraagtijd..region"
"1",21,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,5,5,1,4,4,1,3,2,5,2,4,5,2,5,3,5,3,1,1,1,1,1,1,2,3,5,5,5,3,5,4,5,5,1,1,1,1,1,1,5,1,1,1,3,2,1,5,3,3,5,4,3,3,2,5,5,5,5,5,5,5,28,"Vrouw",NA,"HBO",NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",23,NA,NA,"nl-informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",24,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,3,3,4,3,5,5,5,5,5,3,3,5,5,2,3,2,4,4,3,3,4,2,3,3,4,4,4,1,3,1,4,3,2,3,1,3,3,1,2,1,4,1,3,1,5,3,1,5,1,2,3,2,3,4,3,5,5,3,5,4,5,5,21,"Vrouw",NA,"HBO",NA,97,345.34,24.59,NA,NA,NA,37.2,NA,34.91,NA,26.33,NA,27.01,NA,29.61,NA,32.69,NA,25.6,NA,41.36,NA,29.47,NA,36.57,NA,NA,NA,NA
"4",25,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,4,5,1,5,5,1,2,2,5,2,4,5,5,5,5,5,4,5,5,3,2,3,3,4,5,5,3,4,3,5,3,4,5,1,1,1,1,1,2,4,2,3,3,5,3,3,4,2,2,3,2,2,4,4,5,5,5,5,4,5,5,20,"Vrouw",NA,"HBO",NA,97,389.19,19.31,NA,NA,NA,35.85,NA,47.01,NA,19.81,NA,39.63,NA,30.46,NA,50.48,NA,51.3,NA,40.65,NA,21.51,NA,33.18,NA,NA,NA,NA
"5",26,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,5,3,4,3,4,5,5,5,5,5,3,5,5,4,4,1,4,4,5,5,3,2,2,2,3,5,5,5,5,5,5,4,5,5,1,1,1,1,1,1,5,1,4,2,4,2,5,5,2,2,4,3,3,5,5,5,5,5,5,5,5,5,24,"Vrouw",NA,"HBO",NA,11,2295.04,7.64,NA,NA,NA,60.87,NA,27.99,NA,29.2,NA,94.83,NA,24.38,NA,31.59,NA,23.07,NA,1952.68,NA,20.4,NA,22.39,NA,NA,NA,NA
"6",27,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,4,4,4,1,4,5,1,1,1,1,3,5,5,3,3,3,3,2,5,5,1,2,2,4,3,5,5,4,5,4,5,3,4,5,1,1,1,1,1,1,5,1,1,1,1,1,1,5,1,1,3,1,2,5,5,5,5,5,5,5,5,5,58,"Vrouw",NA,"WO (bijvoorbeeld een MSc of PhD)",NA,89,396.62,27.24,NA,NA,NA,49.07,NA,30.46,NA,40.56,NA,28.28,NA,43.05,NA,37.09,NA,26.72,NA,35.6,NA,51.72,NA,26.83,NA,NA,NA,NA
"7",28,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,4,3,4,5,5,2,5,1,5,3,4,5,5,2,4,1,5,2,4,5,4,2,4,1,3,5,4,4,5,3,5,4,5,5,1,1,1,1,1,1,5,1,1,1,1,2,1,5,2,3,5,1,2,5,4,5,5,4,5,5,5,5,47,"Vrouw",NA,"HBO",NA,97,891.35,23.16,NA,NA,NA,74.14,NA,238.41,NA,113.82,NA,78.51,NA,57.35,NA,51.66,NA,52.9,NA,69.13,NA,92.89,NA,39.38,NA,NA,NA,NA
"8",30,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,3,2,5,2,5,5,5,5,5,5,2,5,5,3,4,2,5,4,5,4,1,1,1,2,3,3,5,3,5,3,5,3,5,3,1,1,1,1,1,1,5,1,2,1,3,2,3,5,2,4,4,4,2,5,4,5,5,5,5,4,5,5,18,"Vrouw",NA,"WO (bijvoorbeeld een MSc of PhD)",NA,60,313.63,32.8,NA,NA,NA,32.32,NA,22.03,NA,31.59,NA,26.35,NA,36.62,NA,28.87,NA,29.35,NA,25.46,NA,20.61,NA,27.63,NA,NA,NA,NA
"9",31,NA,NA,"nl-informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",32,"1980-01-01 00:00:00",12,"nl-informal","yes",NA,5,4,2,3,1,4,5,1,3,2,3,3,4,5,1,2,1,4,3,2,5,4,2,3,2,3,4,5,5,5,5,4,4,4,5,1,1,1,1,1,1,5,1,2,2,3,2,2,5,2,2,4,3,2,5,5,5,5,5,5,5,5,5,27,"Vrouw",NA,"WO (bijvoorbeeld een MSc of PhD)",NA,52,299.63,12.18,NA,NA,NA,38.16,NA,34.04,NA,31.64,NA,45.33,NA,22.5,NA,17.93,NA,30.88,NA,32.75,NA,14.95,NA,19.27,NA,NA,NA,NA
